external_id,name,description_html,type_id,state_id,external_source,assignees,extra_properties,cycle_id,module_id
FICCHEADS-1180,港交所外汇期货做市交易系统建设需求说明书 [0307],<p>【当前迭代交付】完成易盛柜台行情数据对接、后台服务适配性改造，做市交易链路境外部署整体在3月底交付，当前迭代不涉及业务验收。</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""外汇"", ""category_l2"": ""外汇期货"", ""category_l3"": ""交易链路"", ""center"": ""做市业务中心"", ""team"": ""外汇做市台"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""943c1313-5035-46a0-b1e2-91e3a19546a6"", ""techLead"": ""王轮樟"", ""in_delivery"": true, ""estimated_iteration"": ""预计2个迭代完成交付"", ""delivery_content"": ""完成易盛柜台行情数据对接、后台服务适配性改造，做市交易链路境外部署整体在3月底交付，当前迭代不涉及业务验收。"", ""remarks"": ""预计3月底前完成易盛柜台行情对接与做市链路的境外部署\n技术负责人在【1-7日】已确认""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1167,TARF平台建设 [0307],<p>【当前迭代交付】完成合约清算相关的合约事件、资金流水、FX Spot等的编辑与查看</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""场外衍生品"", ""category_l2"": ""TARF"", ""category_l3"": ""交易簿记"", ""center"": ""代客业务中心"", ""team"": ""外汇产品团队"", ""biz_pm"": ""陈思宇"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""daa28f62-9d59-4c8a-9c93-28d931e72b99"", ""techLead"": ""张天翼"", ""in_delivery"": true, ""estimated_iteration"": ""预计3个以上迭代完成交付"", ""delivery_content"": ""完成合约清算相关的合约事件、资金流水、FX Spot等的编辑与查看"", ""remarks"": ""技术负责人在【1-8日】已确认""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1089,港交所国债期货做市需求 [0307],<p>【当前迭代交付】【不纳入说明】：因交易所业务暂未开展，暂不启动开发</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""center"": ""做市业务中心"", ""biz_pm"": ""武晨宇"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""943c1313-5035-46a0-b1e2-91e3a19546a6"", ""techLead"": ""陈治平"", ""in_delivery"": false, ""estimated_iteration"": ""本迭代无法启动后续重新排期"", ""delivery_content"": ""【不纳入说明】：因交易所业务暂未开展，暂不启动开发"", ""remarks"": ""BRD已补充澄清。预占位需求，无明确交付任务""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1097,境外债自营风控优化需求 [0307],<p>【当前迭代交付】支持南向通、总收益互换、境外债汇总相关指标：总规模、DV01、久期的日终授权监控展示</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""债券"", ""category_l2"": ""南向通债券"", ""category_l3"": ""交易风控"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""14b265fe-200d-46aa-8e25-66f57a1e130d"", ""techLead"": ""戚挺"", ""in_delivery"": true, ""estimated_iteration"": ""预计2个迭代完成交付"", ""delivery_content"": ""支持南向通、总收益互换、境外债汇总相关指标：总规模、DV01、久期的日终授权监控展示"", ""remarks"": ""技术负责人在【1-5日】已确认\n原计划0307完成，现延期至0328""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1082,增加财富管理部私行中心客户准入流程 [0307],<p>【当前迭代交付】支持财富管理部私行中心发起客户准入流程</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""销售业务"", ""category_l3"": ""数据报送"", ""center"": ""销售业务中心"", ""team"": ""代客销售团队"", ""biz_pm"": ""吴凡"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""1f032804-4e24-4b85-a5d3-e57bb39f84b4"", ""techLead"": ""张弦"", ""in_delivery"": true, ""estimated_iteration"": ""预计2个迭代完成交付"", ""delivery_content"": ""支持财富管理部私行中心发起客户准入流程"", ""remarks"": ""技术负责人在【12-30日】已确认，交付节奏可能受OB联调进度影响""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1136,其他债权投资和持有至到期损益计算逻辑优化 [0307],<p>【当前迭代交付】完成摊余成本计量和相关中下游适配</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""风险管理"", ""category_l3"": ""业务报表"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""it_pm"": ""daa28f62-9d59-4c8a-9c93-28d931e72b99"", ""techLead"": ""姚忠兵"", ""in_delivery"": true, ""estimated_iteration"": ""预计当前迭代完成交付"", ""delivery_content"": ""完成摊余成本计量和相关中下游适配"", ""remarks"": ""技术负责人在【12-29日】已确认""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1000,场外衍生品平台客户白名单新增产品规模校验提醒及CUBE平台同步需求 [0307],<p>从销售平台同步的客户白名单中的产品客户，同步客户的产品规模信息，实时展示并提示风险。对于白名单客户信息，支持销售平台同步至CUBE平台。</p><p>【当前迭代交付】1.增加预付金余额超出产品规模的铃客提醒</p><p>2. 同步白名单客户列表到Cube平台</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""销售业务"", ""category_l3"": ""销售管理"", ""center"": ""销售业务中心"", ""team"": ""代客销售团队"", ""biz_pm"": ""陈思宇"", ""biz_priority"": ""销售业务中心优先级1"", ""it_pm"": ""1f032804-4e24-4b85-a5d3-e57bb39f84b4"", ""techLead"": ""张弦"", ""in_delivery"": true, ""estimated_iteration"": ""预计当前迭代完成交付"", ""delivery_content"": ""1.增加预付金余额超出产品规模的铃客提醒\n2. 同步白名单客户列表到Cube平台"", ""remarks"": ""技术负责人在【12-29日】已确认""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1110,OCI账户持仓减值计算方案调整需求说明书 [0307],<p>对以摊余成本计量的债券、以公允价值计量且其变动计入其他综合收益的债券的减值计算方法进行调整。</p><p>【当前迭代交付】【不纳入说明】：部分需求问题仍在沟通中，可行性尚待评估。</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""风险管理"", ""category_l3"": ""账户管理"", ""center"": ""自营业务中心"", ""team"": ""自营交易五台"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""自营业务中心优先级1"", ""it_pm"": ""86316c00-0847-43a8-8176-834f264e0307"", ""techLead"": ""姚忠兵"", ""in_delivery"": false, ""estimated_iteration"": ""本迭代无法启动后续重新排期"", ""delivery_content"": ""【不纳入说明】：部分需求问题仍在沟通中，可行性尚待评估。"", ""remarks"": ""BRD已补充澄清，达到准入标准\n待业务确认需求所依赖的关键数据是否可获得""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1168,金控FICC美国国债自动化交易链路业务需求二期（XOR：大象报到彭博后无需交易员确认直接对外报单） [0307],<p>实现自营中心美国国债交易链路建设，通过彭博XOR模块，实现大象报到彭博后无需交易员确认直接对外报单。</p><p>【当前迭代交付】对接彭博 XOR模块，实现订单自动流转。</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""债券"", ""category_l2"": ""美国国债"", ""category_l3"": ""交易链路"", ""center"": ""自营业务中心"", ""team"": ""中央交易台/香港交易一台"", ""biz_pm"": ""沙学府"", ""biz_priority"": ""自营业务中心优先级2"", ""it_pm"": ""8baed4ad-64c0-4922-b4bb-e9d77a865fd7"", ""techLead"": ""戚挺"", ""in_delivery"": true, ""estimated_iteration"": ""预计当前迭代完成交付"", ""delivery_content"": ""对接彭博 XOR模块，实现订单自动流转。"", ""remarks"": ""已与业务沟通，商务流程需要在1月19日之前完成才能在0307启动研发。\n技术负责人在【1-6日】已确认""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
FICCHEADS-1175,股指期货预埋触发单功能（重提） [0307],<p>大象支持时间条件、价格条件等智能条件算法</p><p>【当前迭代交付】【不纳入说明】：本迭代工作量饱和，无法纳入更多需求</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,jira,[],"{""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""期货"", ""category_l2"": ""股指期货"", ""category_l3"": ""交易链路"", ""center"": ""自营业务中心"", ""team"": ""自营交易七台"", ""biz_pm"": ""武晨宇"", ""biz_priority"": ""自营业务中心优先级3"", ""it_pm"": ""535b3838-1804-4a1f-8353-5320babd97b8"", ""techLead"": ""陈治平"", ""in_delivery"": false, ""estimated_iteration"": ""本迭代无法启动后续重新排期"", ""delivery_content"": ""【不纳入说明】：本迭代工作量饱和，无法纳入更多需求"", ""remarks"": ""方案待确认\nIT内部技术框架优化，业务相关需求后续排期""}",eb4e80fd-280b-4ed8-9213-b04ea8f09627,
